City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Valreas,FR,44.3837,4.9908,36.88,69,44,3.36,scattered clouds
278,Sahuaripa,MX,29.05,-109.2333,58.41,37,11,6.33,few clouds
279,Karpogory,RU,64.0019,44.4451,9.91,88,100,9.62,overcast clouds
280,Ballangen,NO,68.3428,16.8315,30.42,74,100,0.0,light snow
281,Bergerac,FR,44.8333,0.5,48.78,100,100,4.61,fog
282,Marawi,PH,7.9986,124.2928,73.45,88,100,5.35,overcast clouds
283,Buraydah,SA,26.326,43.975,48.65,67,0,11.52,clear sky
284,Vestmanna,FO,62.1564,-7.1664,32.92,86,100,1.14,overcast clouds
285,Neuquen,AR,-38.9516,-68.0591,67.89,28,0,10.36,clear sky
286,Nyzy,UA,50.7828,34.7844,33.37,89,100,18.23,overcast clouds
287,Veraval,IN,20.9,70.3667,78.66,30,9,6.29,clear sky
288,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,94,75,7.25,broken clouds
289,Broken Hill,AU,-31.95,141.4333,78.69,54,98,22.32,light rain
290,Kabanjahe,ID,3.1001,98.4908,71.58,82,99,2.68,overcast clouds
291,Finspang,SE,58.7058,15.7674,31.71,94,59,3.4,broken clouds
292,Herat,AF,34.5,62.0,45.82,78,99,2.42,light rain
293,Muros,ES,42.7762,-9.0603,60.1,80,92,20.13,overcast clouds
294,Redcar,GB,54.6166,-1.06,47.53,64,76,15.43,broken clouds
295,Gulmarg,IN,34.049,74.3921,33.91,24,30,4.43,scattered clouds
296,Richards Bay,ZA,-28.783,32.0377,78.22,76,40,12.62,scattered clouds
297,Ust-Ilimsk,RU,58.0006,102.6619,15.85,94,100,6.24,overcast clouds
298,Valparaiso,CL,-33.0393,-71.6273,56.84,94,40,3.44,mist
299,Petatlan,MX,17.5167,-101.2667,70.65,83,35,4.63,scattered clouds
300,Egvekinot,RU,66.3167,-179.1667,-9.18,73,0,18.72,clear sky
301,Myitkyina,MM,25.3833,97.4,72.41,51,20,1.32,few clouds
302,Burnie,AU,-41.0667,145.9167,67.95,46,58,15.46,broken clouds
303,Mandera,KE,3.9366,41.867,80.91,55,54,8.52,broken clouds
304,Belaya Gora,RU,68.5333,146.4167,-35.28,100,44,3.36,scattered clouds
305,Gunnedah,AU,-30.9833,150.25,89.62,21,0,3.04,clear sky
306,Benjamin Constant,BR,-4.3831,-70.0311,75.33,91,93,1.45,overcast clouds
307,Yagodnoye,RU,62.55,149.6667,-28.84,99,76,4.81,broken clouds
308,Porto Nacional,BR,-10.7081,-48.4172,75.2,98,91,2.51,overcast clouds
309,Bengkulu,ID,-3.8004,102.2655,83.66,64,100,9.86,heavy intensity rain
310,Saskylakh,RU,71.9167,114.0833,-36.8,100,98,5.41,overcast clouds
311,Tatvan,TR,38.5067,42.2817,29.88,81,89,2.62,overcast clouds
